,checking_status_A11,checking_status_A12,checking_status_A13,checking_status_A14,credit_history_A30,credit_history_A31,credit_history_A32,credit_history_A33,credit_history_A34,purpose_A40,purpose_A41,purpose_A410,purpose_A42,purpose_A43,purpose_A44,purpose_A45,purpose_A46,purpose_A48,purpose_A49,savings_status_A61,savings_status_A62,savings_status_A63,savings_status_A64,savings_status_A65,employment_A71,employment_A72,employment_A73,employment_A74,employment_A75,personal_status_A91,personal_status_A92,personal_status_A93,personal_status_A94,other_parties_A101,other_parties_A102,other_parties_A103,property_magnitude_A121,property_magnitude_A122,property_magnitude_A123,property_magnitude_A124,other_payment_plans_A141,other_payment_plans_A142,other_payment_plans_A143,housing_A151,housing_A152,housing_A153,job_A171,job_A172,job_A173,job_A174,own_telephone_A191,own_telephone_A192,foreign_worker_A201,foreign_worker_A202,duration,credit_amount,installment_commitment,residence_since,age,existing_credits,num_dependents,prediction,pd_bad
977,-0.01885469550761627,0.023976170711175655,0.00014647146826973767,0.04974128281796766,-0.0008981424215744482,-0.00010931091324891895,-0.0012867591461690607,-0.0011098770459648222,0.018481670452392792,-0.011216522295799223,0.00315769419856224,0.0,-0.0006853799228156277,0.009577142519688095,0.0,-0.0001067600300302729,-0.000447354003044893,0.0,0.004522593104784391,-0.03742364066932168,-0.0001330529779806966,0.00038776696434069893,9.160816756775602e-05,-0.03189070527576405,0.0002487158594885841,-0.002546438446133834,-0.0013476725663713297,0.004281556372898194,-0.010566598519089894,-0.00012492896130424924,-0.006951293902166072,-0.005525694782918435,0.0001719085720469593,7.193496130639688e-05,-0.00012575721339089796,0.000436111296294257,0.011559972667118928,0.002334658999716339,0.0007124208796267339,-0.005279658503113751,-0.002362110066096648,-0.00034378044583718295,-0.003951207724203414,-0.004227711385501607,-0.009367285630141851,-0.0008909434316956322,7.851814007153735e-06,0.000887681171134318,-0.0032067464870760886,0.0003441825305526436,0.002471780906598724,0.0031797528872994007,8.055156387854368e-05,8.712807786650956e-05,0.0027460576430621587,-0.006933496457932052,0.0011242790675350988,0.007050094137057385,-0.00862541193375364,-0.005510346152823331,0.0008644275719780126,0,0.3180163505383317
735,-0.017002824081628204,0.025917403299499712,0.0002212667937783408,0.051856504944221345,-0.0005225256683479529,0.011872625399992103,-0.0024396087881677886,0.00022707438945872128,0.01614823893281482,-0.0068824747555754585,0.004121743256546324,0.0,0.00042819342919756307,0.009194520891317098,0.0004968748422106727,-6.851678132079542e-05,-0.00024333118744834792,0.0,0.00019573153484088833,-0.03304909742573727,-0.0008180851972065284,0.0004054973169331788,0.00012787952800863422,-0.04539096989709833,0.0005843076581368223,0.026810740988585168,-0.0018546142565355694,0.004522368133002601,0.0067929099459252025,-5.946496632532217e-05,0.01629761501750636,0.006074596298983579,0.00028025030484059245,0.00011543338834599126,-0.00010999718972016126,0.0004731633730989415,0.013513971854545162,0.0006112367781861395,0.0027296163671326214,0.055362002081310493,0.01110315374458878,-0.00012003774354525376,0.022604266762755287,-0.0026286414055357453,-0.006443638594619188,-3.5233862363384105e-05,-0.0006765205789997708,0.0001950195664903731,0.005420466908208255,0.0008036331441689981,0.0025705960557843356,0.003207308956743873,7.715141829976346e-05,3.531779337208718e-05,0.02840771183720335,-0.0044448737185848585,0.0012867439054116403,0.0074393923834668385,0.005761671726386339,0.004378834168201138,0.0016888272892538224,1,0.5788935707443202
615,-0.016388657894840435,0.022135926483697402,0.0001261935779621126,0.042562006523648964,0.012884161785550532,-3.692499478347599e-05,-0.0036885474115479155,0.00024000092795176898,0.014602805203367097,-0.0069795868926848924,0.0043405972919936175,0.0,-0.00031768164966706537,0.007773852222080677,0.0,-6.306004215730354e-05,-0.0002685529171867529,0.0,0.005770786026514543,-0.04673286836300576,-0.0004583261640073033,0.00021352471504542335,9.529427494271658e-05,-0.04014250677281325,0.0003905074448994128,-0.0032220833777500957,0.002317704221841268,0.005072199077003461,0.00419402905276911,-0.00014050914884137456,-0.006922813336459512,-0.004141515406454346,0.0003618973718766938,3.655857435660437e-05,-0.00013518353400286288,0.0003393725234491285,0.012126943079574631,-0.0003993319676737883,-0.00043109020142765073,-0.005076639546932711,0.014134631700508181,-6.416081741917878e-05,0.01182895257801647,-0.003522974481420533,-0.006630272305610561,-0.00044972642805078065,-2.9684568289667366e-06,0.0003349714468458842,0.004945928043930507,-0.002163871337634191,-0.00246747991128359,-0.00525857473535325,3.8703466270817446e-05,3.1230836975737474e-05,0.032225599905636955,0.025908700826457787,-0.0019016625976018987,0.006415398263170573,-0.0073056961522434,0.003961300458067854,0.00161692999630759,0,0.423035606539557
413,-0.016001857783030572,-0.014531344946608443,0.0001565095971454866,-0.07277551288294035,-0.000856632328213891,-0.00018772192124743013,0.003271735168691521,-0.00011767820171371568,0.018475473319895172,0.028365284896453888,0.002907887245364691,0.0,1.2896790176455397e-05,0.008680594402785574,0.0,-7.500154315494e-05,-0.0003290060121071292,0.0,-0.00038237372238654645,-0.021036371261470777,-0.00019821327139652568,-0.0027053803941271327,9.626063525502105e-05,0.003823142512801496,0.0005494988169812132,-0.003895310744410381,0.001537815537858478,0.004495276254747296,0.005114357996990293,-8.598162763519213e-05,-0.008413655553631542,-0.0038529597110573376,0.0005952910057385452,-4.950128663040232e-05,-7.523929758463055e-05,0.00030937402887502684,0.01274101261994474,-0.000758715928041056,-0.0008508408772650001,0.0448236695284686,-0.002537540559133049,-0.00025701413782371676,-0.007968256947515328,0.017686669103168243,0.013711403491934107,-7.348414736043197e-05,-9.931845124810933e-06,0.001362755809441296,0.002038521503645825,0.00041027045110240577,0.0023081315237868695,0.0038971019293057908,-0.0012120437906560256,-0.00135606211508275,-0.021960891998296574,-0.0054844175354446635,0.00020604151494353574,0.006085492886531938,-0.004229056527201465,0.0019453618906118209,-0.00697007433460385,0,0.3376919234052568
563,-0.015162872464861721,0.02900980316748246,0.00019634160853456705,0.05509096263886931,-0.0007758202850527596,-0.00010402377578429878,0.004266597815367277,0.00017032104733516462,0.014763739325035203,0.022444441381721844,0.003126631102350075,0.0,-0.00028788583285859203,0.00813055585573693,0.0,-7.690597820328549e-05,-0.00013252174096123781,0.0,-0.0007975313776842085,-0.035564892852426054,-0.00019959345660026885,0.00026908998959697785,8.009627101273508e-05,-0.04485776592527145,0.0007422544455039315,-0.002806894133063906,-0.0026849157725155237,0.004277781999753642,0.0028113904023120994,-7.93779949162854e-05,-0.009110077874247509,-0.005202359764289213,0.00035109708973322994,0.00010001253474911209,-0.00011984041018877179,0.0003627343378320802,0.012466304314775698,-0.0006082594315012102,0.0016293951909119643,0.035149478142084266,-0.001722994728552294,-0.0001333739178517135,-0.0036632257659948665,-0.003764452525847446,0.021998439772014534,0.006175454621952668,1.3000535545870662e-06,0.0005862957605859265,-0.0011823585473302956,0.0016038392976042814,-0.004873173876685542,-0.005435021509556464,7.179050167906098e-05,2.4202244821935893e-05,0.031089977118272147,0.027773318734361965,-0.006502644146003149,-0.008083213220434118,-0.006654951838672787,0.0029521484861470527,0.0019363319090552977,0,0.48038734436436775
27,-0.020757954567434355,-0.009933752956867466,-0.003988265892621712,0.06117170243973305,-0.0007098572084214539,0.014096841187856625,-0.00125719533415122,0.00021311690317816101,0.02097899575206611,-0.010829054267051106,0.0030605934578488815,0.0,0.0005704032611538423,-0.028021190171414218,0.0,-7.823125692084432e-05,-0.000350469092009007,0.0,-0.00041432125839492074,-0.026090460259338213,-0.0006918057928487542,0.000500692224377417,-0.0027288588214787524,0.0038385282473655026,0.00024360042094485836,-0.00253313214998343,0.005103615648713458,0.003780019869464013,0.006341564033564282,-9.720125839521643e-05,0.01936591214341206,0.0039045752318997984,0.0004069049113604706,5.57137570285704e-05,-9.549388560117222e-05,0.0004364791563421022,-0.011960910455572958,0.0006968278994827415,0.0005979162737094157,-0.006043774620375189,-0.0013694029389080243,-0.0003791029250714928,-0.005212435238445323,0.01960902782726407,0.018709978260321804,-0.0007593771882966393,6.650201976299286e-06,0.0008095544513162167,-0.0019843047344329534,0.0010031833299763092,0.00196612568330238,0.004631678119149001,4.20131615101127e-05,3.1911996775306764e-05,-0.012142585078172487,-0.0029245694499877573,-0.00011176263655215734,0.0027482140970005275,-0.009037832735484698,-0.0031749475905598957,0.0015075471636919247,0,0.38407380291823123
514,-0.02091977581687388,-0.011313986860277509,0.0002114105958935397,-0.06768516091523907,-0.0006919789613311877,-0.00011818827944807708,0.0017142799348403058,-0.00030173909126460783,0.01817872371233534,0.028616068378732963,0.003387950139331224,0.0,-0.00020805487711186287,0.008875889508872206,0.0,-0.00010275750595610589,-0.00025493922010355163,0.0,-0.00038772754658566555,-0.028773505971084887,4.236423446855042e-05,0.00024781538944807836,9.869922170764767e-05,-0.024907805958819154,0.00015414221183164046,0.02691496511984951,-0.0012692968784813274,0.004276477305065782,0.006439720311245765,-0.00013067082414636389,-0.005721217506779794,-0.003417817294055112,0.000467825024825288,-4.075036136782728e-05,-0.00012489694287069143,0.0002680715844326187,0.010422986459370804,0.0005818515497048793,0.0004302267340244725,-0.004355780826881528,-0.003093026809146977,-0.00033249147854803597,-0.006680356185534038,-0.004660182569350582,-0.005838754486430844,-0.00028194996280944906,-2.5476375594735147e-06,-6.238922354896203e-05,-0.0015562754021675573,0.00014892369847075316,0.0033743816516835067,0.0016408340334965032,8.441709855105728e-05,4.947747453115881e-05,0.006071081424433942,-0.006759307332686149,0.0025413164367910214,0.006697878696904809,-0.008239684049749485,0.0033442617438413434,0.0013596117515226069,0,0.27973080084372853
624,0.061828791744992485,-0.008953496593476303,0.00021290357668476645,0.06281683705668911,-0.0009573265403741971,-0.00011815278034191579,0.0017960012746971188,9.0412049794395e-05,0.025213751718911225,-0.005917047424554766,0.0033679951207886915,0.0,0.0012233955373812933,-0.02725283962042113,0.0,-7.124927506083623e-05,-0.0005067850247723982,0.0,-0.0004184244316274999,0.02007958855736888,-0.0002629191651067231,0.0004928806037787581,8.702810700924601e-05,0.0049619883056220716,0.0008008525488548912,-0.004016967445422779,-0.0034540678339635635,0.004360390198323785,0.004723007948432496,-0.00012827619655581657,-0.009809920774678176,-0.006241518685474148,0.0004731785678450251,0.0004319552906235913,-0.00014857902511721476,0.0005199376393284183,0.009594648100237463,0.001646435741768073,-0.00012732141856758972,0.03684054405937786,-0.0010718074967735448,-0.00035250709261163137,-0.005323280380362121,-0.0015116326929273782,0.011639389744323126,0.0007931039638424408,-5.0019007176160815e-08,0.0005463466620858526,0.0015603295603568768,0.0014529662098357221,0.002162803743094628,0.0013610915565141113,8.055156387854368e-05,2.9310940008144825e-05,0.005993535224970401,-0.0064020960061225195,0.0030551766008920823,-0.004032259053992675,-0.012872435667868559,-0.0009653865722066258,0.001678448310631211,1,0.5223213943164802
475,0.06414181590347652,-0.009040894337231294,0.0002890296444638807,0.06547730439026055,0.011311426784595823,-0.00010669926879927516,-0.00045272470530562716,0.0001340579915267881,0.027242120035589325,-0.009284554300165837,0.004022859201722895,0.0,-0.006127867772602258,0.013698552407290662,0.0,-6.369286216795445e-05,-0.00032991644431604075,0.0,-0.0002972769143889309,0.026400073422491913,-0.0003333032410046144,0.0005227487459524128,0.00011844276767078554,0.004652452863265353,0.0005615543492967844,0.01862919331939338,0.0006764212964480976,0.006133988061847049,0.008044680903281006,-0.00022726887957105646,0.012381574811288374,0.004860668086994337,0.0007123522177425912,0.0004098531898125657,-0.00011048921296605841,0.0005211230319400784,0.011004540998974334,-0.0074896717574574724,-0.00019459535644273274,-0.004444508517026407,-0.0009649310066743056,-0.00024955463901278564,-0.004350013775383559,0.014506852603044535,0.02131596010471185,0.00010453439026605337,2.6674519176594913e-07,0.0016227433265885338,0.0002632958204594615,0.0015223489340860396,0.002076559011802601,0.002628663922969281,8.12386045436142e-05,6.669329595752061e-05,0.0054138798432813925,-0.004523009342228761,-0.0048948636113345856,-0.004942999889335624,0.00804801104719445,0.003545040892695397,0.002084896179057978,1,0.6381211460296735
991,-0.018029489359432774,-0.010377860331009287,7.237172409077175e-05,-0.06010595817227113,-0.0007080758280790179,0.009492763462476432,-0.0013436065205132764,-5.810007533000316e-05,0.016419390924793335,-0.011368787008641447,0.0024841488456422665,0.0,-0.00045305229758923815,-0.02646842479284487,0.0,-0.00012195035582408308,-0.00044657567181275224,0.0,-0.00031689653744251703,-0.03134182067263737,0.007485166309961642,0.0003114846849530295,0.00010490679982467554,0.0021656576207169567,0.00022787814785260707,-0.003398144415041315,-0.0007909773894698446,0.004102629807557605,-0.011152732217451557,-4.389246387290768e-05,-0.005597710020647355,-0.0031341395379695315,0.000338549428342958,-8.896907747839577e-06,-0.00012627383810468018,0.000264603737014113,0.008493107617823625,-0.00020142677732110315,0.0005437762471410679,-0.005585479504552495,0.019575759175495477,-0.0003256128946668468,0.03396898627512201,-0.00227210188519166,-0.004890826557038963,-0.0010589359737787163,-3.167478862451389e-05,0.00259864073323115,0.004755254575293293,0.0001179313802276738,0.002276246484298099,0.0023309975868323818,3.515883603540715e-05,2.106469444697723e-05,-0.004971472807537794,-0.005759068225288501,0.0009397932012871024,-0.0046356142264266965,0.00044752193622116465,0.0022436148843098637,-0.0024760441953276314,0,0.2555379489920435
